2017/12/01 15:06:52 [error] 12323#0: *1 open() "/root/git/GOF_platform/gametest/static" failed (13: Permission denied), client: 121.250.223.29, server: localhost, request: "GET /static HTTP/1.1", host: "106.14.125.177"
2017/12/01 15:30:21 [error] 12414#0: *3 open() "/root/git/GOF_platform/gametest/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:21 [error] 12414#0: *5 open() "/root/git/GOF_platform/gametest/statics/images/lock.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/lock.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:21 [error] 12414#0: *4 open() "/root/git/GOF_platform/gametest/statics/js/jquery-3.1.1.min.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/jquery-3.1.1.min.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:21 [error] 12414#0: *7 open() "/root/git/GOF_platform/gametest/statics/js/common.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/common.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:21 [error] 12414#0: *6 open() "/root/git/GOF_platform/gametest/statics/js/index.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/index.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 15:30:32 [error] 12414#0: *6 directory index of "/root/git/GOF_platform/gametest/static/" is forbidden, client: 121.250.223.29, server: localhost, request: "GET /static/ HTTP/1.1", host: "106.14.125.177"
2017/12/01 15:31:12 [error] 12424#0: *1 directory index of "/root/git/GOF_platform/gametest/static/" is forbidden, client: 121.250.223.29, server: localhost, request: "GET /static/ HTTP/1.1", host: "106.14.125.177"
2017/12/01 16:19:50 [error] 12604#0: *5 open() "/root/git/GOF_platform/gametest/game/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:19:50 [error] 12604#0: *1 open() "/root/git/GOF_platform/gametest/game/statics/images/button1.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/button1.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:19:50 [error] 12604#0: *2 open() "/root/git/GOF_platform/gametest/game/statics/images/user.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/user.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:19:50 [error] 12604#0: *4 open() "/root/git/GOF_platform/gametest/game/statics/images/lock.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/lock.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:19:50 [error] 12604#0: *3 open() "/root/git/GOF_platform/gametest/game/statics/js/jquery-3.1.1.min.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/jquery-3.1.1.min.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:19:50 [error] 12604#0: *2 open() "/root/git/GOF_platform/gametest/game/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "diagnostics://32/"
2017/12/01 16:19:50 [error] 12604#0: *6 open() "/root/git/GOF_platform/gametest/game/statics/js/common.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/common.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:19:50 [error] 12604#0: *5 open() "/root/git/GOF_platform/gametest/game/statics/js/index.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/index.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *12 open() "/root/git/GOF_platform/gametest/game/statics/images/user.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/user.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *11 open() "/root/git/GOF_platform/gametest/game/statics/images/button1.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/button1.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *14 open() "/root/git/GOF_platform/gametest/game/statics/js/jquery-3.1.1.min.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/jquery-3.1.1.min.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *13 open() "/root/git/GOF_platform/gametest/game/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *15 open() "/root/git/GOF_platform/gametest/game/statics/images/lock.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/lock.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *12 open() "/root/git/GOF_platform/gametest/game/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "diagnostics://32/"
2017/12/01 16:22:07 [error] 12604#0: *14 open() "/root/git/GOF_platform/gametest/game/statics/js/common.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/common.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:07 [error] 12604#0: *17 open() "/root/git/GOF_platform/gametest/game/statics/js/index.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/index.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *11 open() "/root/git/GOF_platform/gametest/game/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *15 open() "/root/git/GOF_platform/gametest/game/statics/images/user.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/user.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *12 open() "/root/git/GOF_platform/gametest/game/statics/js/jquery-3.1.1.min.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/jquery-3.1.1.min.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *13 open() "/root/git/GOF_platform/gametest/game/statics/images/lock.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/lock.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *14 open() "/root/git/GOF_platform/gametest/game/statics/images/button1.png" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/images/button1.png HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *12 open() "/root/git/GOF_platform/gametest/game/statics/style/index.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/style/index.css HTTP/1.1", host: "106.14.125.177", referrer: "diagnostics://32/"
2017/12/01 16:22:21 [error] 12604#0: *17 open() "/root/git/GOF_platform/gametest/game/statics/js/common.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/common.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:22:21 [error] 12604#0: *15 open() "/root/git/GOF_platform/gametest/game/statics/js/index.js" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/js/index.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/"
2017/12/01 16:37:49 [error] 12617#0: *38 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:37:49 [error] 12617#0: *39 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:37:59 [error] 12617#0: *39 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:37:59 [error] 12617#0: *38 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:38:41 [error] 12617#0: *39 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:38:41 [error] 12617#0: *38 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:38:50 [error] 12617#0: *39 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:38:50 [error] 12617#0: *38 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:39:01 [error] 12617#0: *65 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:39:01 [error] 12617#0: *64 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:39:12 [error] 12617#0: *64 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/"
2017/12/01 16:39:12 [error] 12617#0: *65 open() "/root/git/GOF_platform/gametest/game/static/admin/css/dashboard.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/dashboard.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/"
2017/12/01 16:39:14 [error] 12617#0: *52 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:39:14 [error] 12617#0: *53 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:39:26 [error] 12617#0: *65 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *64 open() "/root/git/GOF_platform/gametest/game/static/admin/css/changelists.css" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/css/changelists.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *65 open() "/root/git/GOF_platform/gametest/game/static/admin/js/admin/RelatedObjectLookups.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/admin/RelatedObjectLookups.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *64 open() "/root/git/GOF_platform/gametest/game/static/admin/js/actions.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/actions.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *78 open() "/root/git/GOF_platform/gametest/game/static/admin/js/core.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/core.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *79 open() "/root/git/GOF_platform/gametest/game/static/admin/js/vendor/jquery/jquery.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/vendor/jquery/jquery.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *80 open() "/root/git/GOF_platform/gametest/game/static/admin/js/jquery.init.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/jquery.init.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *64 open() "/root/git/GOF_platform/gametest/game/static/admin/js/urlify.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/urlify.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *65 open() "/root/git/GOF_platform/gametest/game/static/admin/js/prepopulate.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/prepopulate.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:26 [error] 12617#0: *78 open() "/root/git/GOF_platform/gametest/game/static/admin/js/vendor/xregexp/xregexp.js" failed (2: No such file or directory), client: 121.250.214.91, server: localhost, request: "GET /statics/admin/js/vendor/xregexp/xregexp.js HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/game/guser/"
2017/12/01 16:39:59 [error] 12617#0: *51 open() "/root/git/GOF_platform/gametest/game/static/admin/css/login.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/admin/css/login.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
2017/12/01 16:39:59 [error] 12617#0: *52 open() "/root/git/GOF_platform/gametest/game/static/admin/css/base.css" failed (2: No such file or directory), client: 121.250.223.29, server: localhost, request: "GET /statics/admin/css/base.css HTTP/1.1", host: "106.14.125.177", referrer: "http://106.14.125.177/admin/login/?next=/admin/"
